id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,bio
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,"Neon Echo is a Los Angeles-based electronic duo known for blending retro synthwave textures with modern pop energy. They rose to prominence in 2019 after their debut EP went viral on underground music blogs."
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,"LoRoom is a solo bedroom producer from Portland whose hazy, tape-warped beats have become a staple of late-night study playlists worldwide. He crafts every track using a single vintage sampler and a worn-out cassette deck."
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,"Voltline is a four-piece hard rock band out of Detroit forged in the city's gritty industrial underground scene. Their relentless live performances and wall-of-sound production have earned them a fiercely loyal following."
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,"Paper Lanterns is the ambient lofi project of Tokyo-born producer Mei Tanaka, who draws inspiration from rainy evenings and quiet bookshops. Her delicate compositions layer field recordings with soft piano to create an intimate sonic world."
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,"Max Pulse is a high-energy pop producer and DJ from Miami whose tracks are engineered to push listeners to their limits. He has produced anthems for major fitness brands and international sporting events."
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,"Orbit Bloom is a ambient composer and sound designer based in Reykjavik who creates vast, meditative soundscapes inspired by astronomy and deep space. Her music has been featured in planetarium shows and science documentaries across Europe."
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,"Slow Stereo is a jazz trio from New Orleans whose warm, unhurried grooves feel like a Sunday morning that never ends. Formed by three college friends in 2015, they have since become regulars at intimate jazz clubs across the South."
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,"Neon Echo is a Los Angeles-based electronic duo known for blending retro synthwave textures with modern pop energy. They rose to prominence in 2019 after their debut EP went viral on underground music blogs."
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,"LoRoom is a solo bedroom producer from Portland whose hazy, tape-warped beats have become a staple of late-night study playlists worldwide. He crafts every track using a single vintage sampler and a worn-out cassette deck."
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,"Indigo Parade is a Brooklyn indie pop band celebrated for their jangly guitars, lush harmonies, and lyrics about city life and fleeting romance. They self-released their first album from a converted warehouse studio in 2017."
